,Terms,Frequency
3881,passport,6
4319,region,6
1844,exampl,6
4002,plu,6
3475,move,6
969,citizen,6
4107,print,6
3309,mental,6
4368,repres,6
4650,seek,6
5062,surpris,6
852,carri,6
2097,frequent,6
294,altern,6
4925,stage,6
4528,russia,6
4923,staf,6
5413,type,6
2394,herdimmun,6
2332,harm,6
637,biggest,6
5054,suppos,6
5786,whether,6
5799,wide,6
701,border,6
587,bed,6
645,billion,6
5042,sunday,6
5714,watch,6
4929,stand,6
2520,ifr,6
5702,war,6
5531,usual,6
5520,urgent,6
211,afford,6
4677,separ,6
5501,upcom,6
476,attempt,6
2558,improv,6
478,attende,6
4633,search,6
4727,shit,6
188,admiss,6
2352,head,6
2235,govt,6
514,awar,6
148,accus,6
2422,hiv,6
2172,getvaccinatednow,6
2400,hey,6
2393,herd,6
405,appeal,6
4415,reveal,6
2198,goal,6
4395,respond,6
368,anti,6
2290,guest,6
2602,inflammatori,6
2141,gate,6
901,certain,6
5335,transport,6
899,central,6
4413,reuter,6
668,black,6
4858,sort,6
397,ap,6
892,cell,6
2505,icymi,6
4866,southern,6
4393,respect,6
1180,couldnt,5
5532,utah,5
1290,curb,5
3975,pill,5
455,ass,5
376,antigen,5
3726,odd,5
2890,kenyan,5
739,brief,5
4944,statnew,5
3724,oct,5
1930,fatal,5
3269,meanwhil,5
5307,toward,5
2534,imagin,5
1403,defi,5
1094,condenm,5
383,antivax,5
2537,immedi,5
4679,septemb,5
3969,physician,5
3290,medtwitt,5
3738,oh,5
2202,goe,5
5488,unrest,5
5480,unnecessari,5
3568,needl,5
1087,compulsori,5
4158,protein,5
3704,nypost,5
2894,key,5
4715,she,5
1979,fightflu,5
458,assist,5
4756,sideeffect,5
2137,gap,5
4878,specif,5
3637,nobodi,5
1420,demand,5
2661,interim,5
2846,kagw,5
4802,slight,5
2213,googlenew,5
5397,tweet,5
5395,tv,5
2811,joncoopertweet,5
3467,mostli,5
4123,process,5
2420,histori,5
5239,throughout,5
4067,precaut,5
2222,gov,5
5373,truth,5
1512,directli,5
2513,identifi,5
3661,north,5
4024,poll,5
1982,fill,5
1166,corp,5
362,annual,5
1406,definit,5
3381,minor,5
5246,thursday,5
5446,undergo,5
1175,cost,5
1118,consist,5
4114,privat,5
4773,singl,5
1121,constitu,5
3697,ny,5
4775,sink,5
1124,contagi,5
3610,nh,5
5229,threat,5
1581,donat,5
3538,nationwid,5
365,ant,5
1981,file,5
1109,connecticut,5
4665,senat,5
4498,roughli,5
3000,left,5
5834,wonder,5
3010,lessen,5
980,clay,5
5806,will,5
1272,cross,5
4482,rollout,5
4996,stress,5
867,catch,5
5056,suprem,5
2952,lag,5
5866,write,5
5755,weigh,5
